"","word","condition","rating","cih","cil"
"43","mumbling","V",1.82978723404255,0.404255319148936,0.361702127659574
"33","whispering","V",1.8695652173913,0.413043478260869,0.391847826086957
"45","humming","V",1.91489361702128,0.361702127659574,0.361702127659575
"47","muttering","V",1.97872340425532,0.404255319148936,0.362234042553192
"61","murmuring","V",2,0.404255319148936,0.361702127659574
"7","smirking","M",2.02127659574468,0.383510638297872,0.340425531914894
"10","tasting","M",2.04255319148936,0.361702127659575,0.340425531914893
"59","saying","V",2.04255319148936,0.319148936170213,0.319148936170213
"12","smiling","M",2.08510638297872,0.383510638297872,0.340425531914894
"62","uttering","V",2.08510638297872,0.468085106382979,0.404255319148936
"48","gossiping","V",2.12765957446809,0.404255319148936,0.361702127659574
"5","licking","M",2.17021276595745,0.382978723404256,0.319148936170213
"34","remarking","V",2.17021276595745,0.446808510638298,0.404255319148936
"41","commenting","V",2.19148936170213,0.382978723404255,0.361702127659574
"42","chatting","V",2.19148936170213,0.361702127659575,0.340957446808511
"52","babbling","V",2.21739130434783,0.369565217391304,0.369565217391304
"60","mentioning","V",2.26086956521739,0.478260869565218,0.391847826086956
"1","puckering","M",2.27659574468085,0.468085106382979,0.404787234042553
"2","whistling","M",2.27659574468085,0.426063829787233,0.382978723404256
"4","grinning","M",2.30434782608696,0.434782608695652,0.391304347826087
"54","discussing","V",2.30434782608696,0.347826086956522,0.326086956521739
"49","telling","V",2.31914893617021,0.447340425531915,0.425531914893617
"44","speaking","V",2.34042553191489,0.425531914893617,0.382978723404255
"9","frowning","M",2.36170212765957,0.446808510638298,0.404255319148936
"36","talking","V",2.38297872340426,0.382978723404256,0.404255319148936
"11","chewing","M",2.41304347826087,0.304891304347826,0.282608695652174
"50","conversing","V",2.42553191489362,0.382978723404255,0.361702127659575
"39","reciting","V",2.47826086956522,0.41304347826087,0.369565217391304
"35","articulating","V",2.5531914893617,0.404255319148936,0.404255319148936
"3","eating","M",2.57446808510638,0.361702127659575,0.340425531914894
"40","bantering","V",2.70212765957447,0.404255319148936,0.361702127659574
"6","biting","M",2.91489361702128,0.361702127659575,0.361702127659574
"38","lecturing","V",2.95744680851064,0.340425531914894,0.361702127659575
"56","debating","V",3.23913043478261,0.413043478260869,0.41304347826087
"8","coughing","M",3.27659574468085,0.361702127659574,0.340425531914894
"32","pacing","P",3.4468085106383,0.468085106382979,0.425531914893617
"17","strutting","P",3.45652173913043,0.369565217391305,0.391304347826087
"51","arguing","V",3.48936170212766,0.426063829787234,0.382978723404256
"18","strolling","P",3.51063829787234,0.361702127659575,0.340425531914894
"58","hollering","V",3.53191489361702,0.468085106382979,0.404255319148936
"37","singing","V",3.54347826086957,0.347826086956522,0.369565217391305
"14","stepping","P",3.61702127659574,0.404255319148936,0.383510638297873
"46","cheering","V",3.63829787234043,0.362234042553191,0.361702127659574
"55","yelling","V",3.84782608695652,0.391847826086956,0.369565217391305
"22","walking","P",3.91489361702128,0.425531914893617,0.404255319148936
"53","shouting","V",3.95744680851064,0.489361702127659,0.468617021276596
"16","trotting","P",4.14893617021277,0.319680851063829,0.340425531914893
"21","stomping","P",4.15555555555556,0.399999999999999,0.422777777777778
"28","striding","P",4.17391304347826,0.41304347826087,0.369565217391304
"57","screaming","V",4.19565217391304,0.413043478260869,0.434782608695653
"20","parading","P",4.21739130434783,0.391304347826087,0.41304347826087
"24","skipping","P",4.23913043478261,0.434782608695652,0.413043478260869
"29","punting","P",4.29787234042553,0.361702127659575,0.382978723404256
"30","hopping","P",4.34042553191489,0.404255319148937,0.382978723404255
"31","marching","P",4.61702127659574,0.361702127659575,0.361702127659575
"26","kicking","P",4.78723404255319,0.426063829787233,0.362234042553191
"13","jogging","P",5.27659574468085,0.382978723404256,0.404787234042553
"27","galloping","P",5.29787234042553,0.340425531914893,0.319148936170213
"15","dancing","P",5.48936170212766,0.340957446808511,0.340425531914894
"23","hiking","P",5.48936170212766,0.340425531914893,0.361702127659575
"19","running","P",5.82978723404255,0.382978723404255,0.51063829787234
"25","sprinting","P",6.04255319148936,0.361702127659574,0.404255319148937
