"","word","condition2","rating","cih","cil"
"1","singing","H",5.26,0.220000000000001,0.2
"2","lecturing","H",4.74,0.279999999999999,0.28
"3","cheering","H",6.17647058823529,0.196078431372548,0.196078431372549
"4","arguing","H",5.64705882352941,0.274509803921569,0.274509803921569
"5","shouting","H",6.68,0.2,0.240499999999999
"6","yelling","H",6.70588235294118,0.156862745098039,0.176470588235294
"7","debating","H",4.74509803921569,0.235294117647059,0.215686274509804
"8","screaming","H",6.84313725490196,0.11764705882353,0.137254901960784
"9","hollering","H",6.54901960784314,0.15686274509804,0.176470588235294
"10","whispering","L",1.17647058823529,0.11813725490196,0.0980392156862746
"11","remarking","L",3.80392156862745,0.215686274509804,0.215686274509804
"12","articulating","L",3.82352941176471,0.274509803921568,0.313725490196079
"13","talking","L",3.94117647058824,0.235294117647059,0.196078431372549
"14","reciting","L",4.23529411764706,0.254901960784314,0.235294117647059
"15","bantering","L",4.56862745098039,0.274509803921569,0.294117647058823
"16","commenting","L",3.82352941176471,0.176470588235294,0.176470588235294
"17","chatting","L",3.94117647058824,0.196078431372549,0.196568627450981
"18","mumbling","L",1.88235294117647,0.235294117647059,0.215686274509804
"19","speaking","L",3.96078431372549,0.176470588235294,0.176470588235294
"20","humming","L",2.62745098039216,0.235294117647059,0.216176470588235
"21","muttering","L",2.18,0.26,0.22
"22","gossiping","L",3.27450980392157,0.254901960784314,0.235294117647059
"23","telling","L",3.96078431372549,0.196078431372549,0.215686274509804
"24","conversing","L",3.98039215686275,0.196078431372549,0.196078431372549
"25","babbling","L",3.72549019607843,0.274509803921569,0.254901960784314
"26","discussing","L",3.84313725490196,0.176960784313725,0.215686274509804
"27","saying","L",3.84313725490196,0.156862745098039,0.176470588235294
"28","mentioning","L",3.6078431372549,0.196078431372549,0.196568627450981
"29","murmuring","L",1.7843137254902,0.235294117647059,0.216176470588235
"30","uttering","L",3.25490196078431,0.254901960784314,0.254901960784314
